,City,Latitude,Longitude,Temperature (F),Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
248,palmer,42.16,-72.33,40.69,45.0,93,90,8.05
249,manuk mangkaw,4.8,119.85,81.64,81.64,80,8,5.99
250,nhulunbuy,-12.23,136.77,85.03,85.03,80,22,18.19
251,tranas,58.04,14.98,40.51,41.0,88,100,10.0
252,buchanan,5.88,-10.05,76.21,76.21,94,0,0.67
253,lavrentiya,65.58,-171.0,-13.2,-13.2,76,0,2.26
254,kodinsk,58.69,99.18,21.24,21.24,81,100,14.05
255,port said,31.26,32.28,57.22,57.22,53,0,5.06
256,hwange,-18.37,26.5,67.89,67.89,86,1,0.89
257,vostok,46.49,135.88,-5.76,-5.76,85,0,5.14
258,pathein,16.78,94.73,65.48,65.48,69,96,5.95
259,saint george,37.1,-113.58,57.09,60.8,31,1,5.82
260,chernushka,56.51,56.08,16.74,16.74,98,100,6.11
261,saint anthony,45.02,-93.22,31.17,32.0,94,90,10.29
262,tual,-5.67,132.75,84.99,84.99,65,80,5.55
263,vardo,70.37,31.11,23.18,23.18,70,100,28.57
264,xapuri,-10.65,-68.5,75.92,75.92,95,56,2.21
265,kamina,-8.74,24.99,65.34,65.34,97,100,2.91
266,krasnogorsk,55.82,37.32,31.37,33.01,62,88,1.99
267,pringsewu,-5.36,104.97,73.58,73.58,89,73,1.81
268,chama,47.18,8.46,31.41,35.01,91,86,3.6
269,faya,18.39,42.45,45.57,45.57,68,0,6.78
270,mount isa,-20.73,139.5,75.04,75.04,88,100,13.76
271,aasiaat,68.71,-52.87,7.32,7.32,96,100,8.23
272,clyde river,70.47,-68.59,-20.38,-20.38,83,74,4.63
273,niteroi,-22.88,-43.1,75.2,75.2,81,0,3.22
274,hamilton,39.18,-84.53,34.18,36.0,91,100,5.01
275,mayo,38.89,-76.51,46.27,48.0,75,75,5.82
276,pisco,-13.7,-76.22,75.99,75.99,85,100,11.01
277,puerto baquerizo moreno,-0.9,-89.6,76.62,76.62,86,94,14.43
278,saint-paul,-21.01,55.27,71.04,75.2,83,75,2.24
279,saint-pierre,-21.34,55.48,71.04,75.2,73,75,6.93
280,cayeli,41.09,40.73,41.36,41.36,55,53,4.38
281,vallenar,-28.57,-70.76,65.68,65.68,76,22,6.11
282,nantucket,41.28,-70.1,44.76,46.0,100,90,21.92
283,severo-kurilsk,50.68,156.12,18.72,18.72,92,100,43.49
284,norman wells,65.28,-126.83,-21.68,-21.68,96,100,9.62
285,matamoros,25.53,-103.25,63.0,63.0,54,100,1.01
286,fairbanks,64.84,-147.72,-10.84,-5.01,63,100,5.01
287,victoria,22.29,114.16,59.61,62.01,95,100,15.48
288,chapais,49.78,-74.85,24.42,24.42,95,100,7.2
289,bulgan,48.81,103.53,7.27,7.27,60,74,3.62
290,svetlogorsk,52.63,29.73,31.73,31.73,94,46,10.29
291,pangody,65.85,74.49,-2.52,-2.52,98,83,3.24
292,kidal,18.44,1.41,73.31,73.31,9,97,9.95
293,tuatapere,-46.13,167.68,69.01,69.01,67,78,3.0
294,ulaangom,49.98,92.07,-6.56,-6.56,90,99,2.82
295,cayenne,4.93,-52.33,76.46,76.46,91,77,7.56
296,lavumisa,-27.31,31.89,75.2,75.2,88,29,2.24
297,nakhon phanom,17.41,104.78,64.6,64.6,97,87,4.07
298,mana,5.66,-53.78,74.41,74.41,95,73,2.82
299,gamba,-2.65,10.0,78.57,78.57,85,16,3.98
300,narsaq,60.92,-46.05,15.8,15.8,72,92,3.36
301,kununurra,-15.77,128.73,89.89,89.89,56,93,4.99
302,east london,-33.02,27.91,75.58,75.58,80,0,15.05
303,teguise,29.06,-13.56,60.69,60.69,71,0,4.7
304,mehamn,71.04,27.85,17.69,17.69,77,100,21.21
305,impfondo,1.64,18.07,67.53,67.53,28,85,1.36
306,carballo,43.21,-8.69,41.54,44.01,87,7,1.99
307,yatou,37.15,122.38,38.86,38.86,66,100,14.23
308,royan,45.63,-1.03,45.23,48.99,94,100,5.01
309,aztec,36.82,-107.99,43.95,46.99,49,1,16.11
310,aripuana,-9.17,-60.63,76.17,76.17,96,100,1.1
311,west bay,19.37,-81.42,79.0,79.0,55,22,5.01
312,juegang,32.32,121.19,47.05,50.0,68,100,17.56
313,avera,33.19,-82.53,47.88,51.01,66,2,1.01
314,ko samui,9.54,99.94,80.2,80.2,68,71,6.73
315,deputatskiy,69.3,139.9,-40.23,-40.23,100,55,0.76
316,lar,26.2,83.97,48.74,48.74,89,0,4.18
317,cidreira,-30.18,-50.21,74.77,74.77,73,60,18.75
318,tilichiki,60.47,166.1,25.5,25.5,84,100,18.05
319,menongue,-14.66,17.69,63.39,63.39,92,100,3.02
320,rosario do sul,-30.26,-54.91,78.21,78.21,40,0,4.41
321,yenotayevka,47.25,47.03,37.58,37.58,93,100,24.63
322,port hardy,50.7,-127.42,43.97,43.97,87,38,2.82
323,prince george,53.92,-122.75,37.99,37.99,76,100,1.99
324,cape coast,5.11,-1.25,81.19,81.19,72,83,6.8
325,hofn,64.25,-15.21,36.64,36.64,91,87,5.48
326,adeje,28.12,-16.73,56.53,63.0,87,75,6.93
327,constantine,36.37,6.61,46.18,46.18,59,33,3.98
328,ancud,-41.87,-73.82,58.95,58.95,95,100,7.4
329,poum,-20.23,164.02,79.9,79.9,80,89,19.82
330,aksu,41.12,80.26,22.17,22.17,75,59,1.97
331,paamiut,61.99,-49.67,18.07,18.07,64,93,21.72
332,mbandaka,0.05,18.26,70.65,70.65,38,100,2.84
333,santa isabel,-23.32,-46.22,73.44,79.0,79,61,1.92
334,pimentel,-6.84,-79.93,73.11,73.11,91,50,14.97
335,tuy hoa,13.08,109.3,75.56,75.56,82,99,3.38
336,kendari,-3.94,122.5,81.66,81.66,83,69,1.23
337,pedernales,18.04,-71.74,68.45,68.45,92,82,1.1
338,klaipeda,55.72,21.12,41.0,41.0,93,30,4.7
339,wajir,1.75,40.06,80.89,80.89,72,100,14.07
340,angatuba,-23.49,-48.41,67.86,67.86,80,1,3.15
341,halmeu,47.97,23.02,29.44,30.0,89,27,2.3
342,tatawin,32.93,10.45,59.34,59.34,34,100,4.09
343,gorom-gorom,14.44,-0.24,72.34,72.34,9,85,9.57
344,kedougou,12.56,-12.17,75.63,75.63,9,78,1.28
345,port-cartier,50.03,-66.87,17.01,17.01,78,80,0.78
346,sambava,-14.27,50.17,71.19,71.19,96,100,1.97
347,sokolo,14.73,-6.12,76.19,76.19,8,84,10.83
348,eldoret,0.52,35.27,57.51,57.51,94,100,5.61
349,bacolod,10.67,122.95,78.85,78.85,80,1,1.72
350,abu samrah,35.3,37.18,38.28,38.28,56,0,8.23
351,yaroslavskiy,44.17,132.21,2.34,2.34,75,0,1.28
352,yumen,40.28,97.2,13.01,13.01,69,0,2.66
353,mumford,5.26,-0.76,73.33,73.33,75,52,1.92
354,mugur-aksy,50.35,90.5,-0.96,-0.96,74,64,7.63
355,casablanca,33.59,-7.62,54.0,54.0,75,4,4.0
356,aranos,-24.13,19.12,73.11,73.11,15,0,7.52
357,kruisfontein,-34.0,24.73,66.63,66.63,86,27,22.3
358,bilma,18.69,12.92,59.41,59.41,16,0,7.85
359,tigil,57.8,158.67,27.34,27.34,80,100,21.39
360,port macquarie,-31.43,152.92,85.86,88.0,60,0,1.99
361,entre rios,-11.94,-38.08,76.89,76.89,89,98,5.79
362,rodnykove,45.04,33.95,33.8,33.8,82,0,7.65
363,lakes entrance,-37.88,147.98,71.94,73.0,68,0,1.01
364,smithers,54.78,-127.17,27.72,27.72,96,65,3.58
365,queanbeyan,-35.35,149.23,77.67,80.01,57,0,1.01
366,san lazaro,18.04,-88.66,70.84,70.84,80,31,5.19
367,aykhal,66.0,111.5,-20.31,-20.31,100,100,8.7
368,bima,-8.47,118.72,78.49,78.49,87,70,2.84
369,port hedland,-20.32,118.57,93.76,93.76,38,0,9.69
370,katsuura,35.13,140.3,38.32,39.99,92,100,5.01
371,gravdal,68.12,13.5,32.79,32.79,65,100,23.38
372,sioux lookout,50.1,-91.92,24.66,24.66,97,100,3.76
373,maxixe,-23.86,35.35,78.28,78.28,81,82,10.63
374,maniitsoq,65.42,-52.9,13.51,13.51,88,100,8.16
375,batticaloa,7.71,81.69,69.85,69.85,91,93,2.73
376,eureka,40.8,-124.16,56.8,59.0,93,100,3.42
377,clonakilty,51.62,-8.87,48.0,48.0,96,100,13.0
378,misratah,32.38,15.09,63.99,63.99,45,84,9.73
379,porto santo,33.07,-16.34,45.0,45.0,96,12,2.13
380,waingapu,-9.66,120.26,83.35,83.35,76,61,6.35
381,dayong,25.02,118.29,58.35,58.35,96,100,3.71
382,dryden,49.78,-92.75,24.49,24.49,94,100,3.24
383,gavrilovka vtoraya,52.88,42.77,26.1,26.1,88,79,17.43
384,pontes e lacerda,-15.23,-59.34,77.47,77.47,67,72,0.69
385,saraza,8.74,117.78,81.09,81.09,82,78,8.19
386,daru,-9.08,143.21,87.94,87.94,64,94,2.44
387,soure,-0.72,-48.52,78.37,78.37,91,99,5.93
388,belaya gora,68.53,146.42,-28.03,-28.03,96,100,3.58
389,visby,57.64,18.3,36.81,41.0,96,32,12.15
390,gornopravdinsk,60.05,69.9,-2.9,-2.9,99,97,6.04
391,puerto leguizamo,-0.19,-74.78,77.9,77.9,84,100,2.04
392,ishigaki,24.34,124.16,73.6,73.6,87,100,13.89
393,fonte boa,-2.5,-66.27,77.68,77.68,81,100,0.98
394,grand-santi,4.25,-54.38,73.4,73.4,97,70,4.45
395,bereda,43.27,-7.54,41.9,45.0,1,5,4.23
396,pitkyaranta,61.57,31.48,26.8,26.8,77,8,9.31
397,san quintin,30.48,-115.95,63.77,63.77,64,45,5.68
398,esmeraldas,-19.76,-44.31,66.79,66.79,99,78,2.71
399,winnemucca,40.97,-117.74,48.99,48.99,59,63,5.99
400,toowoomba,-27.55,151.97,75.65,78.01,76,83,4.0
401,bagdarin,54.43,113.6,-5.33,-5.33,90,0,1.5
402,sasovo,54.35,41.92,27.45,27.45,85,56,18.28
403,penzance,50.12,-5.54,47.88,48.99,91,78,15.01
404,high rock,26.62,-78.28,70.86,70.86,73,3,11.34
405,bonoua,5.27,-3.6,76.68,76.68,91,79,2.66
406,santa fe,-31.63,-60.7,83.37,83.37,27,0,2.3
407,dolores,-36.31,-57.68,67.98,67.98,55,7,8.3
408,xuddur,4.12,43.89,76.6,76.6,69,100,15.7
409,albanel,48.88,-72.45,20.7,20.7,96,100,3.51
410,lincoln,40.8,-96.67,29.71,30.99,89,83,4.0
411,tautira,-17.73,-149.15,87.01,87.01,66,75,13.0
412,nanortalik,60.14,-45.24,23.04,23.04,75,100,13.27
413,russell,32.35,-85.2,51.55,52.0,55,50,5.23
414,riyadh,24.69,46.72,43.54,43.54,33,0,14.41
415,quatre cocos,-20.21,57.76,75.52,77.0,83,75,11.41
416,tazovskiy,67.47,78.7,-5.24,-5.24,97,89,5.28
417,camargo,27.67,-105.17,66.96,66.96,30,100,8.95
418,vadakku valliyur,8.38,77.65,64.83,64.83,95,65,6.29
419,maceio,-9.67,-35.74,81.57,81.57,85,94,18.07
420,hervey bay,-25.3,152.85,86.0,86.0,61,43,8.01
421,carutapera,-1.2,-46.02,82.38,82.38,80,100,13.67
422,goundi,9.36,17.37,63.75,63.75,14,0,4.18
423,ugoofaaru,5.67,73.0,82.22,82.22,68,100,6.58
424,sao lourenco do oeste,-26.36,-52.85,67.69,67.69,82,3,2.8
425,guerrero negro,27.98,-114.06,67.24,67.24,53,0,10.31
426,omsukchan,62.53,155.8,-30.5,-30.5,100,100,9.44
427,severodvinsk,64.56,39.83,-0.92,-0.92,95,0,0.74
428,codrington,-38.27,141.97,62.37,62.37,89,76,14.85
429,paragominas,-2.97,-47.48,75.54,75.54,93,100,4.18
430,izhma,65.01,53.91,-10.73,-10.73,98,99,2.95
